"Potential applied (V)","Time (s)","WE(1).Current (A)","WE(1).Potential (V)","Scan","Index","Q+","Q-","Current range"
"0.43365478515625","226.77557142745","-1.8118286132812E-6","0.43405151367188","1","1","0.0012895535193384","-0.0025236618965864","1 µA"
"0.43121337890625","226.78777842742","-2.8012084960937E-6","0.43194580078125","1","2","0.0012895535193384","-0.0025236618965864","1 µA"
"0.42877197265625","226.79998542739","-3.2830810546875E-6","0.42950439453125","1","3","0.0012895535193384","-0.0025236618965864","1 µA"
"0.42633056640625","226.81219242735","-4.8065185546875E-6","0.42657470703125","1","4","0.0012895535193384","-0.0025236618965864","10 µA"
"0.42388916015625","226.82439942732","-6.50634765625E-6","0.42416381835938","1","5","0.0012895535193384","-0.0025236618965864","10 µA"
"0.42144775390625","226.83660642729","-7.11669921875E-6","0.42172241210938","1","6","0.0012895535193384","-0.0025236618965864","10 µA"
"0.41900634765625","226.84881342726","-7.9315185546875E-6","0.41937255859375","1","7","0.0012895535193384","-0.0025236618965864","10 µA"
"0.41656494140625","226.86102042723","-9.7991943359375E-6","0.41696166992188","1","8","0.0012895535193384","-0.0025236618965864","10 µA"
"0.41412353515625","226.8732274272","-1.1428833007813E-5","0.41452026367188","1","9","0.0012895535193384","-0.0025236618965864","10 µA"
"0.41168212890625","226.88543442717","-1.1956787109375E-5","0.4119873046875","1","10","0.0012895535193384","-0.0025236618965864","10 µA"
"0.40924072265625","226.89764142714","-1.3320922851563E-5","0.40960693359375","1","11","0.0012895535193384","-0.0025236618965864","10 µA"
"0.40679931640625","226.90984842711","-1.566162109375E-5","0.4072265625","1","12","0.0012895535193384","-0.0025236618965864","10 µA"
"0.40435791015625","226.92205542708","-1.7202758789063E-5","0.40478515625","1","13","0.0012895535193384","-0.0025236618965864","10 µA"
"0.40191650390625","226.93426242705","-1.7984008789063E-5","0.40234375","1","14","0.0012895535193384","-0.0025236618965864","10 µA"
"0.39947509765625","226.94646942702","-2.005615234375E-5","0.39999389648438","1","15","0.0012895535193384","-0.0025236618965864","10 µA"
"0.39703369140625","226.95867642698","-2.2738647460938E-5","0.39755249023438","1","16","0.0012895535193384","-0.0025236618965864","10 µA"
"0.39459228515625","226.97088342695","-2.423095703125E-5","0.39511108398438","1","17","0.0012895535193384","-0.0025236618965864","10 µA"
"0.39215087890625","226.98309042692","-2.5634765625E-5","0.39263916015625","1","18","0.0012895535193384","-0.0025236618965864","10 µA"
"0.38970947265625","226.99529742689","-2.86376953125E-5","0.39031982421875","1","19","0.0012895535193384","-0.0025236618965864","10 µA"
"0.38726806640625","227.00750442686","-3.1512451171875E-5","0.38787841796875","1","20","0.0012895535193384","-0.0025236618965864","10 µA"
"0.38482666015625","227.01971142683","-3.31787109375E-5","0.38504028320312","1","21","0.0012895535193384","-0.0025236618965864","100 µA"
"0.38238525390625","227.0319184268","-3.5494995117188E-5","0.38262939453125","1","22","0.0012895535193384","-0.0025236618965864","100 µA"
"0.37994384765625","227.04412542677","-3.946533203125E-5","0.38021850585938","1","23","0.0012895535193384","-0.0025236618965864","100 µA"
"0.37750244140625","227.05633242674","-4.251708984375E-5","0.37777709960938","1","24","0.0012895535193384","-0.0025236618965864","100 µA"
"0.37506103515625","227.06853942671","-4.4525146484375E-5","0.37533569335938","1","25","0.0012895535193384","-0.0025236618965864","100 µA"
"0.37261962890625","227.08074642668","-4.8086547851563E-5","0.3729248046875","1","26","0.0012895535193384","-0.0025236618965864","100 µA"
"0.37017822265625","227.09295342665","-5.279541015625E-5","0.37045288085938","1","27","0.0012895535193384","-0.0025236618965864","100 µA"
"0.36773681640625","227.10516042661","-5.609130859375E-5","0.3680419921875","1","28","0.0012895535193384","-0.0025236618965864","100 µA"
"0.36529541015625","227.11736742658","-5.8868408203125E-5","0.36557006835938","1","29","0.0012895535193384","-0.0025236618965864","100 µA"
"0.36285400390625","227.12957442655","-6.3934326171875E-5","0.3631591796875","1","30","0.0012895535193384","-0.0025236618965864","100 µA"
"0.36041259765625","227.14178142652","-6.93359375E-5","0.3607177734375","1","31","0.0012895535193384","-0.0025236618965864","100 µA"
"0.35797119140625","227.15398842649","-7.2845458984375E-5","0.35821533203125","1","32","0.0012895535193384","-0.0025236618965864","100 µA"
"0.35552978515625","227.16619542646","-7.70263671875E-5","0.35580444335938","1","33","0.0012895535193384","-0.0025236618965864","100 µA"
"0.35308837890625","227.17840242643","-8.367919921875E-5","0.3533935546875","1","34","0.0012895535193384","-0.0025236618965864","100 µA"
"0.35064697265625","227.1906094264","-8.9569091796875E-5","0.35098266601562","1","35","0.0012895535193384","-0.0025236618965864","100 µA"
"0.34820556640625","227.20281642637","-9.356689453125E-5","0.34854125976562","1","36","0.0012895535193384","-0.0025236618965864","100 µA"
"0.34576416015625","227.21502342634","-9.94873046875E-5","0.3460693359375","1","37","0.0012895535193384","-0.0025236618965864","100 µA"
"0.34332275390625","227.22723042631","-0.000107666015625","0.3436279296875","1","38","0.0012895535193384","-0.0025236618965864","100 µA"
"0.34088134765625","227.23943742628","-0.00011383056640625","0.34121704101562","1","39","0.0012895535193384","-0.0025236618965864","100 µA"
"0.33843994140625","227.25164442624","-0.00011898803710938","0.33880615234375","1","40","0.0012895535193384","-0.0025236618965864","100 µA"
"0.33599853515625","227.26385142621","-0.00012698364257813","0.33633422851562","1","41","0.0012895535193384","-0.0025236618965864","100 µA"
"0.33355712890625","227.27605842618","-0.00013641357421875","0.333984375","1","42","0.0012895535193384","-0.0025236618965864","100 µA"
