"Potential applied (V)","Time (s)","WE(1).Current (A)","WE(1).Potential (V)","Scan","Index","Q+","Q-","Current range","Overload"
"0.240478515625","152.65235961459","-5.8349609375E-5","0.24069213867188","1","518","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.242919921875","152.66212561457","-5.133056640625E-5","0.24310302734375","1","519","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.245361328125","152.67189161454","-4.603271484375E-5","0.24560546875","1","520","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.247802734375","152.68165761452","-3.614501953125E-5","0.24801635742188","1","521","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.250244140625","152.69142361449","-3.1695556640625E-5","0.25045776367188","1","522","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.252685546875","152.70118961447","-2.1533203125E-5","0.25286865234375","1","523","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.255126953125","152.71095561444","-1.4984130859375E-5","0.25534057617188","1","524","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.257568359375","152.72072161442","-7.269287109375E-6","0.25775146484375","1","525","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.260009765625","152.73048761439","2.8424072265625E-6","0.26022338867188","1","526","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.262451171875","152.74025361437","8.4381103515625E-6","0.26263427734375","1","527","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.264892578125","152.75001961434","2.0346069335938E-5","0.26498413085938","1","528","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.267333984375","152.75978561432","2.6666259765625E-5","0.26742553710938","1","529","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.269775390625","152.76955161429","3.6932373046875E-5","0.26983642578125","1","530","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.272216796875","152.77931761427","4.6868896484375E-5","0.2723388671875","1","531","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.274658203125","152.78908361424","5.40771484375E-5","0.27471923828125","1","532","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.277099609375","152.79884961422","6.7138671875E-5","0.27713012695312","1","533","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.279541015625","152.8086156142","7.3638916015625E-5","0.27963256835938","1","534","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.281982421875","152.81838161417","8.6395263671875E-5","0.28201293945312","1","535","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.284423828125","152.82814761415","9.58251953125E-5","0.28445434570312","1","536","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.286865234375","152.83791361412","0.00010528564453125","0.286865234375","1","537","0.0011514731168747","-0.0022339593410492","100 µA",""
"0.289306640625","152.8476796141","0.00011880493164063","0.289306640625","1","538","0.0011514731168747","-0.0022339593410492","100 µA",""
